iter	Passed	Remaining
0	1	160
1	2	142
2	4	131
3	6	146
4	7	140
5	8	136
6	10	136
7	11	132
8	12	129
9	14	126
10	15	122
11	16	120
12	17	118
13	20	126
14	22	125
15	23	122
16	24	120
17	25	118
18	27	116
19	28	114
20	29	111
21	31	110
22	32	107
23	33	105
24	36	110
25	37	108
26	39	106
27	40	103
28	41	102
29	42	100
30	44	98
31	45	97
32	46	95
33	48	93
34	52	96
35	53	95
36	54	93
37	55	91
38	57	89
39	58	87
40	59	85
41	60	83
42	61	81
43	62	79
44	65	80
45	67	78
46	68	77
47	71	76
48	73	76
49	74	74
50	75	72
51	77	71
52	79	70
53	86	73
54	88	72
55	90	70
56	91	68
57	92	67
58	95	66
59	97	64
60	98	62
61	99	61
62	100	59
63	102	57
64	103	55
65	104	54
66	106	52
67	107	50
68	109	49
69	111	47
70	113	46
71	114	44
72	115	42
73	116	41
74	118	39
75	119	37
76	120	35
77	122	34
78	127	33
79	128	32
80	130	30
81	131	28
82	132	27
83	133	25
84	135	23
85	136	22
86	137	20
87	140	19
88	142	17
89	143	15
90	144	14
91	146	12
92	147	11
93	148	9
94	149	7
95	151	6
96	152	4
97	154	3
98	156	1
99	158	0
